Date,Time,AffinityIndex,SerialNumber,H,Tmean,WindSpeed,WindDirection(°),Wmin,Wmax,Wmean,AtmosphericPressure,RelativeHumidity,TdewPoint(°C),WaterVaporElasticity,AbsolutusHumidity,DensityofAir,SpeedofSoundinAir
2017-01-01,02:01:00+00,1,15409AMK-03,2,-5.32,1.85,8.2,0.1,3.83,-0.04,741.36,100,-5.32,4.12,3.28,1.2817,328.62
2017-01-01,02:02:00+00,1,15409AMK-03,2,-5.31,1.95,8.38,0.73,4.11,0.2,741.37,100,-5.31,4.12,3.28,1.2817,328.63
2017-01-01,02:03:00+00,1,15409AMK-03,2,-5.27,2.27,34.88,0.75,4.74,0.05,741.34,100,-5.27,4.13,3.29,1.2814,328.65
2017-01-01,02:04:00+00,1,15409AMK-03,2,-5.31,1.54,8.75,0.02,4.08,0.02,741.3,100,-5.31,4.12,3.28,1.2815,328.63
2017-01-01,02:05:00+00,1,15409AMK-03,2,-5.3,1.13,11.61,0.33,2.29,0.11,741.28,100,-5.3,4.12,3.29,1.2815,328.64
2017-01-01,02:06:00+00,1,15409AMK-03,2,-5.31,1.2,41.23,0.28,2.39,0.07,741.29,100,-5.31,4.12,3.28,1.2815,328.63
2017-01-01,02:07:00+00,1,15409AMK-03,2,-5.28,1.83,59.95,0.4,4.39,0.07,741.28,100,-5.28,4.13,3.29,1.2814,328.65
2017-01-01,02:08:00+00,1,15409AMK-03,2,-5.28,2.34,22.57,0.71,4.13,0.25,741.24,100,-5.28,4.13,3.29,1.2813,328.65
2017-01-01,02:09:00+00,1,15409AMK-03,2,-5.27,1.91,5.92,0.65,4.24,0,741.24,100,-5.27,4.13,3.29,1.2813,328.66
2017-01-01,02:10:00+00,1,15409AMK-03,2,-5.29,2.1,14.18,0.13,4.28,0.1,741.25,100,-5.29,4.13,3.29,1.2814,328.64
2017-01-01,02:11:00+00,1,15409AMK-03,2,-5.27,2.11,59.83,0.4,5.27,0.05,741.24,100,-5.27,4.13,3.29,1.2812,328.66
2017-01-01,02:12:00+00,1,15409AMK-03,2,-5.27,1.59,44.43,0.35,3.61,0.01,741.25,100,-5.27,4.13,3.29,1.2813,328.66
2017-01-01,02:13:00+00,1,15409AMK-03,2,-5.28,1.39,44.5,0.37,3.18,-0.02,741.24,100,-5.28,4.13,3.29,1.2813,328.65
2017-01-01,02:14:00+00,1,15409AMK-03,2,-5.27,1.87,37.98,0.35,2.99,0.02,741.25,100,-5.27,4.13,3.29,1.2813,328.66
2017-01-01,02:15:00+00,1,15409AMK-03,2,-5.3,1.35,11.51,0.5,2.64,0.08,741.26,100,-5.3,4.12,3.29,1.2814,328.64
2017-01-01,02:16:00+00,1,15409AMK-03,2,-5.33,1.03,33.34,0.4,2.21,0.24,741.26,100,-5.33,4.11,3.28,1.2816,328.62
2017-01-01,02:17:00+00,1,15409AMK-03,2,-5.31,1.39,45.95,0.5,3.03,0.05,741.27,100,-5.31,4.12,3.28,1.2815,328.63
2017-01-01,02:18:00+00,1,15409AMK-03,2,-5.27,2.35,30.36,0.5,4.35,0.05,741.25,100,-5.27,4.13,3.29,1.2813,328.65
2017-01-01,02:19:00+00,1,15409AMK-03,2,-5.3,1.29,20.35,0.03,3.42,0.17,741.27,100,-5.3,4.12,3.28,1.2815,328.64
2017-01-01,02:20:00+00,1,15409AMK-03,2,-5.3,1.42,40.49,0.27,2.67,0.02,741.25,100,-5.3,4.12,3.29,1.2814,328.64
2017-01-01,02:21:00+00,1,15409AMK-03,2,-5.31,1.04,350.33,0.47,2,0.11,741.26,100,-5.31,4.12,3.28,1.2815,328.63
2017-01-01,02:22:00+00,1,15409AMK-03,2,-5.3,1.92,358.8,0.05,3.24,-0.01,741.23,100,-5.3,4.12,3.29,1.2814,328.64
2017-01-01,02:23:00+00,1,15409AMK-03,2,-5.29,1.97,25.92,0.63,3.14,0.14,741.23,100,-5.29,4.12,3.29,1.2814,328.64
2017-01-01,02:24:00+00,1,15409AMK-03,2,-5.31,1.34,355.17,0.47,2.49,0.02,741.24,100,-5.31,4.12,3.28,1.2814,328.63
2017-01-01,02:25:00+00,1,15409AMK-03,2,-5.31,1.58,4.24,0.53,3.26,0.12,741.24,100,-5.31,4.12,3.28,1.2815,328.63
2017-01-01,02:26:00+00,1,15409AMK-03,2,-5.3,1.78,20.77,0.14,4.65,0.15,741.23,100,-5.3,4.12,3.29,1.2814,328.64
2017-01-01,02:27:00+00,1,15409AMK-03,2,-5.3,1.86,29.26,0.31,4.67,0.06,741.21,100,-5.3,4.12,3.29,1.2813,328.64
2017-01-01,02:28:00+00,1,15409AMK-03,2,-5.31,1.89,21.99,0.38,4.89,0.07,741.22,100,-5.31,4.12,3.28,1.2814,328.63
2017-01-01,02:29:00+00,1,15409AMK-03,2,-5.31,1.99,51.91,0.61,3.38,0.16,741.19,100,-5.31,4.12,3.28,1.2814,328.63
2017-01-01,02:30:00+00,1,15409AMK-03,2,-5.32,1.13,354,0.24,2.19,-0,741.2,100,-5.32,4.12,3.28,1.2814,328.63

